1970-01-01 00:00:00: Hello, this is Vintas for Fat TV in the Against the Clock series and I'm going to start the
1970-01-01 00:00:16: clock now.
1970-01-01 00:07:33: Here we go.
1970-01-01 00:07:34: Here we go.
1970-01-01 00:07:35: Here we go.
1970-01-01 00:07:36: Here we go.
1970-01-01 00:07:37: Here we go.
1970-01-01 00:07:38: Here we go.
1970-01-01 00:07:39: Here we go.
1970-01-01 00:07:40: Here we go.
1970-01-01 00:07:41: Here we go.
1970-01-01 00:07:42: Here we go.
1970-01-01 00:07:43: Here we go.
1970-01-01 00:07:44: Here we go.
1970-01-01 00:07:45: Here we go.
1970-01-01 00:07:46: Here we go.
1970-01-01 00:07:47: Here we go.
1970-01-01 00:07:48: Here we go.
1970-01-01 00:07:49: Here we go.
1970-01-01 00:07:50: Here we go.
1970-01-01 00:07:51: Here we go.
1970-01-01 00:07:52: Here we go.
1970-01-01 00:07:53: Here we go.
1970-01-01 00:07:54: Here we go.
1970-01-01 00:07:55: Here we go.
1970-01-01 00:07:56: Here we go.
1970-01-01 00:07:57: Here we go.
1970-01-01 00:07:58: Here we go.
1970-01-01 00:07:59: Here we go.
1970-01-01 00:08:00: Here we go.
1970-01-01 00:08:01: Here we go.
1970-01-01 00:08:02: Here we go.
1970-01-01 00:08:03: Here we go.
1970-01-01 00:08:04: Here we go.
1970-01-01 00:08:05: Here we go.
1970-01-01 00:08:06: Here we go.
1970-01-01 00:08:07: Here we go.
1970-01-01 00:08:08: Here we go.
1970-01-01 00:08:09: Here we go.
1970-01-01 00:08:10: Here we go.
1970-01-01 00:08:11: Here we go.
1970-01-01 00:08:12: Here we go.
1970-01-01 00:08:13: Here we go.
1970-01-01 00:08:14: Here we go.
1970-01-01 00:08:15: Here we go.
1970-01-01 00:08:16: Here we go.
1970-01-01 00:08:17: Here we go.
1970-01-01 00:08:18: Here we go.
1970-01-01 00:08:19: Here we go.
1970-01-01 00:08:20: Here we go.
1970-01-01 00:08:21: Here we go.
1970-01-01 00:08:22: Here we go.
1970-01-01 00:08:23: Here we go.
1970-01-01 00:08:24: Here we go.
1970-01-01 00:08:25: Here we go.
1970-01-01 00:08:26: Here we go.
1970-01-01 00:08:27: Here we go.
1970-01-01 00:08:28: Here we go.
1970-01-01 00:08:29: Here we go.
1970-01-01 00:08:30: Here we go.
1970-01-01 00:08:31: Here we go.
1970-01-01 00:08:32: Here we go.
1970-01-01 00:08:33: Here we go.
1970-01-01 00:08:34: Here we go.
1970-01-01 00:08:35: Here we go.
1970-01-01 00:08:36: Here we go.
1970-01-01 00:08:37: Here we go.
1970-01-01 00:08:38: Here we go.
1970-01-01 00:08:39: Here we go.
1970-01-01 00:08:40: Here we go.
1970-01-01 00:08:41: Here we go.
1970-01-01 00:08:43: Come on, man.
1970-01-01 00:08:44: Come on.
1970-01-01 00:08:45: Come on, man.
1970-01-01 00:08:46: Oh, this is gonna rock.
1970-01-01 00:08:47: All right.
1970-01-01 00:08:48: Let's get going.
1970-01-01 00:08:52: Yeah.
1970-01-01 00:08:53: All right, let's do this.
1970-01-01 00:08:54: All right.
1970-01-01 00:08:55: Oh my God.
1970-01-01 00:08:56: All right.
1970-01-01 00:08:57: Yeah.
1970-01-01 00:09:58: Thank you.
1970-01-01 00:10:09: That was fun.
