1970-01-01 00:00:00: What's up, boys?
1970-01-01 00:00:08: Southside808Mafia.
1970-01-01 00:00:09: Just started a new club online, only robes and pillows.
1970-01-01 00:00:12: I'm sleeping on you niggas.
1970-01-01 00:03:03: I'm going to kill you.
1970-01-01 00:03:04: I'm going to kill you.
1970-01-01 00:03:05: I'm going to kill you.
1970-01-01 00:03:06: I'm going to kill you.
1970-01-01 00:03:07: I'm going to kill you.
1970-01-01 00:03:08: I'm going to kill you.
1970-01-01 00:03:09: I'm going to kill you.
1970-01-01 00:03:10: I'm going to kill you.
1970-01-01 00:03:11: I'm going to kill you.
1970-01-01 00:03:12: I'm going to kill you.
1970-01-01 00:03:14: I'm going to kill you.
1970-01-01 00:03:15: I'm going to kill you.
1970-01-01 00:03:16: I'm going to kill you.
1970-01-01 00:03:17: I'm going to kill you.
1970-01-01 00:03:18: I'm going to kill you.
1970-01-01 00:03:19: I'm going to kill you.
1970-01-01 00:03:20: I'm going to kill you.
1970-01-01 00:03:21: I'm going to kill you.
1970-01-01 00:03:22: I'm going to kill you.
1970-01-01 00:03:23: I'm going to kill you.
1970-01-01 00:03:24: I'm going to kill you.
1970-01-01 00:03:25: I'm going to kill you.
1970-01-01 00:03:26: I'm going to kill you.
1970-01-01 00:03:27: I'm going to kill you.
1970-01-01 00:03:28: I'm going to kill you.
1970-01-01 00:03:29: I'm going to kill you.
1970-01-01 00:03:30: I'm going to kill you.
1970-01-01 00:03:31: I'm going to kill you.
1970-01-01 00:03:32: I'm going to kill you.
1970-01-01 00:03:33: I'm going to kill you.
1970-01-01 00:03:34: I'm going to kill you.
1970-01-01 00:03:35: I'm going to kill you.
1970-01-01 00:03:36: I'm going to kill you.
1970-01-01 00:03:37: I'm going to kill you.
1970-01-01 00:03:39: I'm going to kill you.
1970-01-01 00:03:40: I'm going to kill you.
1970-01-01 00:03:41: I'm going to kill you.
1970-01-01 00:03:42: I'm going to kill you.
1970-01-01 00:03:43: I'm going to kill you.
1970-01-01 00:03:44: I'm going to kill you.
1970-01-01 00:03:45: I'm going to kill you.
1970-01-01 00:03:46: I'm going to kill you.
1970-01-01 00:03:47: I'm going to kill you.
1970-01-01 00:03:48: I'm going to kill you.
1970-01-01 00:03:49: I'm going to kill you.
1970-01-01 00:03:50: I'm going to kill you.
1970-01-01 00:03:51: I'm going to kill you.
1970-01-01 00:03:52: I'm going to kill you.
1970-01-01 00:03:53: I'm going to kill you.
1970-01-01 00:03:54: I'm going to kill you.
1970-01-01 00:03:55: I'm going to kill you.
1970-01-01 00:03:56: I'm going to kill you.
1970-01-01 00:03:57: I'm going to kill you.
1970-01-01 00:03:58: I'm going to kill you.
1970-01-01 00:03:59: I'm going to kill you.
1970-01-01 00:04:00: I'm going to kill you.
1970-01-01 00:04:01: I'm going to kill you.
1970-01-01 00:04:02: I'm going to kill you.
1970-01-01 00:04:04: I'm going to kill you.
1970-01-01 00:04:05: I'm going to kill you.
1970-01-01 00:04:06: I'm going to kill you.
1970-01-01 00:04:07: I'm going to kill you.
1970-01-01 00:04:08: I'm going to kill you.
1970-01-01 00:04:09: I'm going to kill you.
1970-01-01 00:04:10: I'm going to kill you.
1970-01-01 00:04:11: I'm going to kill you.
1970-01-01 00:04:12: I'm going to kill you.
1970-01-01 00:04:13: I'm going to kill you.
1970-01-01 00:04:14: I'm going to kill you.
1970-01-01 00:04:15: I'm going to kill you.
1970-01-01 00:04:16: I'm going to kill you.
1970-01-01 00:04:17: I'm going to kill you.
1970-01-01 00:04:18: I'm going to kill you.
1970-01-01 00:04:19: I'm going to kill you.
1970-01-01 00:04:20: I'm going to kill you.
1970-01-01 00:04:21: I'm going to kill you.
1970-01-01 00:04:22: I'm going to kill you.
1970-01-01 00:04:23: I'm going to kill you.
1970-01-01 00:04:24: I'm going to kill you.
1970-01-01 00:04:25: I'm going to kill you.
1970-01-01 00:04:26: I'm going to kill you.
1970-01-01 00:04:27: I'm going to kill you.
1970-01-01 00:04:28: I'm going to kill you.
1970-01-01 00:04:35: Hey.
1970-01-01 00:04:42: Oh, oh, oh!
1970-01-01 00:04:43: Oh, oh, oh!
1970-01-01 00:04:44: This is going to pass.
1970-01-01 00:04:45: This is going to pass.
1970-01-01 00:04:47: This is going to pass.
1970-01-01 00:04:49: Hey, hey, hey!
1970-01-01 00:04:51: Hey hey hey!
1970-01-01 00:04:53: Hey, hey, hey!
1970-01-01 00:04:55: Hey, hey, hey!
1970-01-01 00:05:26: Five minutes that quick.
1970-01-01 00:05:56: Five minutes.
1970-01-01 00:06:26: It's done. That shit done.
1970-01-01 00:06:52: That is sweat right there. It don't need land up.
1970-01-01 00:06:54: You need a future on that motherfuckin' it go. We go. We feelin'.
1970-01-01 00:06:57: And I feel like we're gonna sit in the future. This is the first shit up.
1970-01-01 00:07:23: I'm not gonna sit on me too hard bro. My shit started like at two minutes.
1970-01-01 00:07:27: How many minutes it took like?
1970-01-01 00:07:31: 35,006 minutes. Ain't bad.
1970-01-01 00:07:53: I was really pushin' past. Really in the streets.
1970-01-01 00:07:57: Said we ready for that and I'm ready for that beef.
1970-01-01 00:08:00: Pull up with the chop. Me and Big Flop.
1970-01-01 00:08:04: Pull up, spin a 80. On a new watch.
1970-01-01 00:08:07: Watch your whole block. Watch your whole town.
1970-01-01 00:08:11: Hoppin' King and shit. I need a new crown.
1970-01-01 00:08:14: Spin like 100. 100 with the jeweler.
1970-01-01 00:08:17: I said I'm super wet. Put it in the cooler.
1970-01-01 00:08:21: Pull up on the niggas. Kill these niggas. School them.
1970-01-01 00:08:24: Karate talk will it. Karate talk will it.
1970-01-01 00:08:28: Talk a talk will it. Sizzle be it will it.
1970-01-01 00:08:31: Fuck that bitch feelings. Dick all in her feelings.
1970-01-01 00:08:34: Damn I made her kill it. Still playin' with me.
1970-01-01 00:08:38: Still playin' with me. I might fly to bill it.
1970-01-01 00:08:41: Sizzle goin' in. I might fuck her friends.
1970-01-01 00:08:45: Sizzle goin' in. She suck me up for a bitch.
1970-01-01 00:08:48: Sizzle goin' in. I might fuck her friends.
1970-01-01 00:08:51: Sizzle goin' in. She suck me up for a bitch.
1970-01-01 00:08:54: I been turnin' shit down. Yeah.
1970-01-01 00:08:57: I'ma turn you niggas down. Yeah.
1970-01-01 00:09:00: The chopper got a 80 round. Yeah.
1970-01-01 00:09:03: I paid a limbo a round. Yeah.
1970-01-01 00:09:06: Pull up on the holy red bottles. Red bottles.
1970-01-01 00:09:09: Please don't try to kick us. Chance got em.
1970-01-01 00:09:12: Chance got em. With a hundred. That was chance.
1970-01-01 00:09:15: Chance got em. With a hundred. That was chance.
1970-01-01 00:09:18: Chance got em. Put a red down on your body.
1970-01-01 00:09:21: Won't be more savage. She gone head like a motherfucker.
1970-01-01 00:09:24: Motherfucker. She gone get this check.
1970-01-01 00:09:27: Blood sucka. Blood sucka. Woo.
1970-01-01 00:09:30: I gotta take that flow. That flow curzzy. Sucka.
1970-01-01 00:09:33: Niggas. Yeah.
1970-01-01 00:09:36: That fire hot went off too.
1970-01-01 00:09:39: Alright, boo.
1970-01-01 00:09:42: Facts TV. I put it up.
